Year,Units,Zeitreihe,Value
2015.0,Millionen EUR,Pandemieprävention und -reaktion,137.85
2016.0,Millionen EUR,Pandemieprävention und -reaktion,151.44
2017.0,Millionen EUR,Pandemieprävention und -reaktion,220.78
2018.0,Millionen EUR,Pandemieprävention und -reaktion,260.67
2019.0,Millionen EUR,Pandemieprävention und -reaktion,272.54
2020.0,Millionen EUR,Pandemieprävention und -reaktion,353.1
2021.0,Millionen EUR,Pandemieprävention und -reaktion,168.0
2015.0,Millionen EUR,Pandemieprävention und -reaktion,137.85
2016.0,Millionen EUR,Pandemieprävention und -reaktion,151.44
2017.0,Millionen EUR,Pandemieprävention und -reaktion,220.78
2018.0,Millionen EUR,Pandemieprävention und -reaktion,260.67
2019.0,Millionen EUR,Pandemieprävention und -reaktion,272.54
2020.0,Millionen EUR,Pandemieprävention und -reaktion,353.1
2030.0,Millionen EUR,,
2015.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2016.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2017.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2018.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2019.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2020.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,635.18
2021.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,222.7
2015.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2016.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2017.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2018.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2019.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,
2020.0,Millionen EUR,Eindämmung der COVID-19-Pandemie,635.18
2030.0,Millionen EUR,,
