Year,Units,Zeitreihe,Value
1/2014,Millionen,,7.9
2/2014,Millionen,,11.2
1/2015,Millionen,,15.1
2/2015,Millionen,,18.2
1/2016,Millionen,,19.7
2/2016,Millionen,,20.4
1/2017,Millionen,,22.5
2/2017,Millionen,,23.7
1/2018,Millionen,,24.2
2/2018,Millionen,,24.2
1/2019,Millionen,,26.4
2/2019,Millionen,,32.1
1/2020,Millionen,,33.0
2/2020,Millionen,,35.6
1/2021,Millionen,,37.6
2/2021,Millionen,,40.2
1/2022,Millionen,,42.3
1/2014,Millionen,Objekte mit Digitalisat,
2/2014,Millionen,Objekte mit Digitalisat,
1/2015,Millionen,Objekte mit Digitalisat,
2/2015,Millionen,Objekte mit Digitalisat,6.3
1/2016,Millionen,Objekte mit Digitalisat,7.7
2/2016,Millionen,Objekte mit Digitalisat,8.1
1/2017,Millionen,Objekte mit Digitalisat,9.1
2/2017,Millionen,Objekte mit Digitalisat,9.7
1/2018,Millionen,Objekte mit Digitalisat,9.7
2/2018,Millionen,Objekte mit Digitalisat,9.7
1/2019,Millionen,Objekte mit Digitalisat,12.1
2/2019,Millionen,Objekte mit Digitalisat,13.0
1/2020,Millionen,Objekte mit Digitalisat,11.0
2/2020,Millionen,Objekte mit Digitalisat,11.9
1/2021,Millionen,Objekte mit Digitalisat,13.3
2/2021,Millionen,Objekte mit Digitalisat,14.4
1/2022,Millionen,Objekte mit Digitalisat,14.9
1/2014,Millionen,Objekte ohne Digitalisat,
2/2014,Millionen,Objekte ohne Digitalisat,
1/2015,Millionen,Objekte ohne Digitalisat,
2/2015,Millionen,Objekte ohne Digitalisat,
1/2016,Millionen,Objekte ohne Digitalisat,12.0
2/2016,Millionen,Objekte ohne Digitalisat,
1/2017,Millionen,Objekte ohne Digitalisat,13.4
2/2017,Millionen,Objekte ohne Digitalisat,
1/2018,Millionen,Objekte ohne Digitalisat,14.5
2/2018,Millionen,Objekte ohne Digitalisat,
1/2019,Millionen,Objekte ohne Digitalisat,14.3
2/2019,Millionen,Objekte ohne Digitalisat,
1/2020,Millionen,Objekte ohne Digitalisat,22.0
2/2020,Millionen,Objekte ohne Digitalisat,
1/2021,Millionen,Objekte ohne Digitalisat,24.3
2/2021,Millionen,Objekte ohne Digitalisat,
1/2022,Millionen,Objekte ohne Digitalisat,27.4
