Year,Units,Anzeigen,Zeitreihe,Value
1995,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.308
1996,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.32
1997,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.279
1998,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.262
1999,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.264
2000,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.271
2001,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.27
2002,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.27
2003,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.28
2004,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.28
2005,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.36
2006,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.36
2007,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.37
2008,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.38
2009,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.35
2010,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.39
2011,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.39
2012,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.37
2013,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.381
2014,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.419
2015,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.523
2016,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.699
2017,Prozent,Zeitreihe,Berechnung als Netto-Ausgabe,0.667
2018,Prozent,Zeitreihe,Berechnung in Zuschussäquivalenten,0.612
2019,Prozent,Zeitreihe,Berechnung in Zuschussäquivalenten,0.612
2030,Prozent,Ziel,Berechnung in Zuschussäquivalenten,0.7
