Year,Units,Display,Time series,Value
2002,Percentage,Time series,Imports of processed products from LDCs,0.356
2003,Percentage,Time series,Imports of processed products from LDCs,0.486
2004,Percentage,Time series,Imports of processed products from LDCs,0.489
2005,Percentage,Time series,Imports of processed products from LDCs,0.398
2006,Percentage,Time series,Imports of processed products from LDCs,0.446
2007,Percentage,Time series,Imports of processed products from LDCs,0.45
2008,Percentage,Time series,Imports of processed products from LDCs,0.356
2009,Percentage,Time series,Imports of processed products from LDCs,0.517
2010,Percentage,Time series,Imports of processed products from LDCs,0.472
2011,Percentage,Time series,Imports of processed products from LDCs,0.543
2012,Percentage,Time series,Imports of processed products from LDCs,0.544
2013,Percentage,Time series,Imports of processed products from LDCs,0.624
2014,Percentage,Time series,Imports of processed products from LDCs,0.658
2015,Percentage,Time series,Imports of processed products from LDCs,0.758
2016,Percentage,Time series,Imports of processed products from LDCs,0.82
2017,Percentage,Time series,Imports of processed products from LDCs,0.882
2018,Percentage,Time series,Imports of processed products from LDCs,0.894
2019,Percentage,Time series,Imports of processed products from LDCs,0.894
2020,Percentage,Time series,Imports of processed products from LDCs,0.917
2002,Percentage,Time series,Imports from LDCs,0.435
2003,Percentage,Time series,Imports from LDCs,0.524
2004,Percentage,Time series,Imports from LDCs,0.52
2005,Percentage,Time series,Imports from LDCs,0.439
2006,Percentage,Time series,Imports from LDCs,0.49
2007,Percentage,Time series,Imports from LDCs,0.521
2008,Percentage,Time series,Imports from LDCs,0.459
2009,Percentage,Time series,Imports from LDCs,0.581
2010,Percentage,Time series,Imports from LDCs,0.534
2011,Percentage,Time series,Imports from LDCs,0.673
2012,Percentage,Time series,Imports from LDCs,0.618
2013,Percentage,Time series,Imports from LDCs,0.708
2014,Percentage,Time series,Imports from LDCs,0.714
2015,Percentage,Time series,Imports from LDCs,0.811
2016,Percentage,Time series,Imports from LDCs,0.876
2017,Percentage,Time series,Imports from LDCs,0.936
2018,Percentage,Time series,Imports from LDCs,0.94
2019,Percentage,Time series,Imports from LDCs,0.942
2020,Percentage,Time series,Imports from LDCs,0.981
2030,Percentage,Target,Imports from LDCs,1.43
