Year,Units,Time series,Value
2002,Percentage,Imports from LDCs,0.44
2003,Percentage,Imports from LDCs,0.52
2004,Percentage,Imports from LDCs,0.52
2005,Percentage,Imports from LDCs,0.44
2006,Percentage,Imports from LDCs,0.49
2007,Percentage,Imports from LDCs,0.52
2008,Percentage,Imports from LDCs,0.46
2009,Percentage,Imports from LDCs,0.58
2010,Percentage,Imports from LDCs,0.53
2011,Percentage,Imports from LDCs,0.67
2012,Percentage,Imports from LDCs,0.62
2013,Percentage,Imports from LDCs,0.71
2014,Percentage,Imports from LDCs,0.71
2015,Percentage,Imports from LDCs,0.81
2016,Percentage,Imports from LDCs,0.88
2017,Percentage,Imports from LDCs,0.94
2018,Percentage,Imports from LDCs,0.94
2019,Percentage,Imports from LDCs,0.94
2020,Percentage,Imports from LDCs,0.98
2021,Percentage,Imports from LDCs,1.03
2030,Percentage,Imports from LDCs,
2002,Percentage,Imports of processed products from LDCs,0.36
2003,Percentage,Imports of processed products from LDCs,0.49
2004,Percentage,Imports of processed products from LDCs,0.49
2005,Percentage,Imports of processed products from LDCs,0.4
2006,Percentage,Imports of processed products from LDCs,0.45
2007,Percentage,Imports of processed products from LDCs,0.45
2008,Percentage,Imports of processed products from LDCs,0.36
2009,Percentage,Imports of processed products from LDCs,0.52
2010,Percentage,Imports of processed products from LDCs,0.47
2011,Percentage,Imports of processed products from LDCs,0.54
2012,Percentage,Imports of processed products from LDCs,0.54
2013,Percentage,Imports of processed products from LDCs,0.62
2014,Percentage,Imports of processed products from LDCs,0.66
2015,Percentage,Imports of processed products from LDCs,0.76
2016,Percentage,Imports of processed products from LDCs,0.82
2017,Percentage,Imports of processed products from LDCs,0.88
2018,Percentage,Imports of processed products from LDCs,0.89
2019,Percentage,Imports of processed products from LDCs,0.89
2020,Percentage,Imports of processed products from LDCs,0.92
2021,Percentage,Imports of processed products from LDCs,0.91
2030,Percentage,Imports of processed products from LDCs,
