Year,Value,Units,GeoCode
1991,2.4,Prozent,
1992,2.28,Prozent,
1993,2.21,Prozent,
1994,2.13,Prozent,
1995,2.14,Prozent,
1996,2.14,Prozent,
1997,2.19,Prozent,
1998,2.22,Prozent,
1999,2.35,Prozent,
2000,2.41,Prozent,
2001,2.4,Prozent,
2002,2.44,Prozent,
2003,2.47,Prozent,
2004,2.44,Prozent,
2005,2.44,Prozent,
2006,2.47,Prozent,
2007,2.46,Prozent,
2008,2.62,Prozent,
2009,2.74,Prozent,
2010,2.73,Prozent,
2011,2.81,Prozent,
2012,2.88,Prozent,
2013,2.84,Prozent,
2014,2.88,Prozent,
2015,2.93,Prozent,
2016,2.94,Prozent,
2017,3.05,Prozent,
2018,3.11,Prozent,
2019,3.17,Prozent,
2020,3.14,Prozent,
1992,,Prozent,
1993,,Prozent,
1994,,Prozent,
1995,,Prozent,
1996,,Prozent,
1997,,Prozent,
1998,,Prozent,
1999,,Prozent,
2000,3.76,Prozent,
2001,3.71,Prozent,
2002,3.75,Prozent,
2003,3.75,Prozent,
2004,3.74,Prozent,
2005,4.08,Prozent,
2006,4.02,Prozent,
2007,4.16,Prozent,
2008,4.42,Prozent,
2009,4.63,Prozent,
2010,4.45,Prozent,
2011,4.8,Prozent,
2012,4.9,Prozent,
2013,4.75,Prozent,
2014,4.85,Prozent,
2015,4.9,Prozent,
2016,4.93,Prozent,
2017,5.64,Prozent,
2018,5.68,Prozent,
2019,5.79,Prozent,
2020,5.69,Prozent,
1991,,Prozent,
1992,,Prozent,
1993,,Prozent,
1994,,Prozent,
1995,,Prozent,
1996,,Prozent,
1997,,Prozent,
1998,,Prozent,
1999,,Prozent,
2000,2.83,Prozent,
2001,2.92,Prozent,
2002,2.9,Prozent,
2003,3.0,Prozent,
2004,2.93,Prozent,
2005,2.9,Prozent,
2006,2.97,Prozent,
2007,2.82,Prozent,
2008,3.02,Prozent,
2009,3.05,Prozent,
2010,3.01,Prozent,
2011,2.98,Prozent,
2012,3.08,Prozent,
2013,3.11,Prozent,
2014,3.13,Prozent,
2015,3.13,Prozent,
2016,3.13,Prozent,
2017,3.11,Prozent,
2018,3.19,Prozent,
2019,3.41,Prozent,
2020,3.36,Prozent,
1991,,Prozent,
1992,,Prozent,
1993,,Prozent,
1994,,Prozent,
1995,,Prozent,
1996,,Prozent,
1997,,Prozent,
1998,,Prozent,
1999,,Prozent,
2000,3.4,Prozent,
2001,3.79,Prozent,
2002,3.89,Prozent,
2003,3.68,Prozent,
2004,3.68,Prozent,
2005,3.49,Prozent,
2006,3.54,Prozent,
2007,3.03,Prozent,
2008,3.17,Prozent,
2009,3.38,Prozent,
2010,3.44,Prozent,
2011,3.34,Prozent,
2012,3.44,Prozent,
2013,3.56,Prozent,
2014,3.61,Prozent,
2015,3.53,Prozent,
2016,3.42,Prozent,
2017,3.42,Prozent,
2018,3.51,Prozent,
2019,3.34,Prozent,
2020,3.32,Prozent,
1991,,Prozent,
1992,,Prozent,
1993,,Prozent,
1994,,Prozent,
1995,,Prozent,
1996,,Prozent,
1997,,Prozent,
1998,,Prozent,
1999,,Prozent,
2000,1.44,Prozent,
2001,1.44,Prozent,
2002,1.36,Prozent,
2003,1.18,Prozent,
2004,1.24,Prozent,
2005,1.18,Prozent,
2006,1.23,Prozent,
2007,1.23,Prozent,
2008,1.32,Prozent,
2009,1.4,Prozent,
2010,1.43,Prozent,
2011,1.66,Prozent,
2012,1.65,Prozent,
2013,1.55,Prozent,
2014,1.58,Prozent,
2015,1.67,Prozent,
2016,1.73,Prozent,
