Year,Value,Units,Series,GeoCode
2005,961.0,1 000,Beschäftigte in EMAS Organisationen,
2006,926.0,1 000,Beschäftigte in EMAS Organisationen,
2007,860.0,1 000,Beschäftigte in EMAS Organisationen,
2008,840.0,1 000,Beschäftigte in EMAS Organisationen,
2009,803.0,1 000,Beschäftigte in EMAS Organisationen,
2010,781.0,1 000,Beschäftigte in EMAS Organisationen,
2011,765.0,1 000,Beschäftigte in EMAS Organisationen,
2012,773.0,1 000,Beschäftigte in EMAS Organisationen,
2013,788.0,1 000,Beschäftigte in EMAS Organisationen,
2014,785.0,1 000,Beschäftigte in EMAS Organisationen,
2015,801.0,1 000,Beschäftigte in EMAS Organisationen,
2016,842.0,1 000,Beschäftigte in EMAS Organisationen,
2017,985.0,1 000,Beschäftigte in EMAS Organisationen,
2018,929.0,1 000,Beschäftigte in EMAS Organisationen,
2019,988.0,1 000,Beschäftigte in EMAS Organisationen,
2020,860.0,1 000,Beschäftigte in EMAS Organisationen,
2021,911.0,1 000,Beschäftigte in EMAS Organisationen,
2005,1958.0,Anzahl,EMAS-Organisationsstandorte,
2006,1985.0,Anzahl,EMAS-Organisationsstandorte,
2007,1956.0,Anzahl,EMAS-Organisationsstandorte,
2008,1917.0,Anzahl,EMAS-Organisationsstandorte,
2009,1906.0,Anzahl,EMAS-Organisationsstandorte,
2010,1913.0,Anzahl,EMAS-Organisationsstandorte,
2011,1909.0,Anzahl,EMAS-Organisationsstandorte,
2012,1828.0,Anzahl,EMAS-Organisationsstandorte,
2013,1862.0,Anzahl,EMAS-Organisationsstandorte,
2014,1906.0,Anzahl,EMAS-Organisationsstandorte,
2015,2004.0,Anzahl,EMAS-Organisationsstandorte,
2016,2073.0,Anzahl,EMAS-Organisationsstandorte,
2017,2182.0,Anzahl,EMAS-Organisationsstandorte,
2018,2167.0,Anzahl,EMAS-Organisationsstandorte,
2019,2176.0,Anzahl,EMAS-Organisationsstandorte,
2020,2184.0,Anzahl,EMAS-Organisationsstandorte,
2021,2290.0,Anzahl,EMAS-Organisationsstandorte,
2006,,Anzahl,EMAS-Organisationsstandorte,
2007,,Anzahl,EMAS-Organisationsstandorte,
2008,,Anzahl,EMAS-Organisationsstandorte,
2009,,Anzahl,EMAS-Organisationsstandorte,
2010,493.0,Anzahl,EMAS-Organisationsstandorte,
