Year,Value,Units,GeoCode
2004,-5.1,m² pro Einwohner/-in und Jahr,
2005,-5.0,m² pro Einwohner/-in und Jahr,
2006,-4.8,m² pro Einwohner/-in und Jahr,
2007,-4.7,m² pro Einwohner/-in und Jahr,
2008,-4.6,m² pro Einwohner/-in und Jahr,
2009,-4.3,m² pro Einwohner/-in und Jahr,
2010,-4.0,m² pro Einwohner/-in und Jahr,
2011,-4.2,m² pro Einwohner/-in und Jahr,
2012,-3.8,m² pro Einwohner/-in und Jahr,
2013,-3.6,m² pro Einwohner/-in und Jahr,
2014,-3.7,m² pro Einwohner/-in und Jahr,
2015,-2.9,m² pro Einwohner/-in und Jahr,
2016,-2.7,m² pro Einwohner/-in und Jahr,
2017,-2.8,m² pro Einwohner/-in und Jahr,
2018,-2.8,m² pro Einwohner/-in und Jahr,
2019,-2.8,m² pro Einwohner/-in und Jahr,
2020,-2.8,m² pro Einwohner/-in und Jahr,
2005,-1.8,m² pro Einwohner/-in und Jahr,
2006,-1.7,m² pro Einwohner/-in und Jahr,
2007,-1.7,m² pro Einwohner/-in und Jahr,
2008,-1.7,m² pro Einwohner/-in und Jahr,
2009,-1.5,m² pro Einwohner/-in und Jahr,
2010,-1.5,m² pro Einwohner/-in und Jahr,
2011,-1.4,m² pro Einwohner/-in und Jahr,
2012,-1.2,m² pro Einwohner/-in und Jahr,
2013,-1.2,m² pro Einwohner/-in und Jahr,
2014,-1.1,m² pro Einwohner/-in und Jahr,
2015,-1.0,m² pro Einwohner/-in und Jahr,
2016,-0.6,m² pro Einwohner/-in und Jahr,
2017,-0.6,m² pro Einwohner/-in und Jahr,
2018,-0.6,m² pro Einwohner/-in und Jahr,
2019,-0.5,m² pro Einwohner/-in und Jahr,
2020,-0.7,m² pro Einwohner/-in und Jahr,
2004,-7.4,m² pro Einwohner/-in und Jahr,
2005,-7.3,m² pro Einwohner/-in und Jahr,
2006,-7.1,m² pro Einwohner/-in und Jahr,
2007,-6.9,m² pro Einwohner/-in und Jahr,
2008,-6.7,m² pro Einwohner/-in und Jahr,
2009,-6.4,m² pro Einwohner/-in und Jahr,
2010,-5.9,m² pro Einwohner/-in und Jahr,
2011,-6.3,m² pro Einwohner/-in und Jahr,
2012,-5.7,m² pro Einwohner/-in und Jahr,
2013,-5.5,m² pro Einwohner/-in und Jahr,
2014,-5.7,m² pro Einwohner/-in und Jahr,
2015,-4.3,m² pro Einwohner/-in und Jahr,
2016,-4.3,m² pro Einwohner/-in und Jahr,
2017,-4.4,m² pro Einwohner/-in und Jahr,
2018,-4.5,m² pro Einwohner/-in und Jahr,
2019,-4.5,m² pro Einwohner/-in und Jahr,
2020,-4.5,m² pro Einwohner/-in und Jahr,
2005,-3.3,m² pro Einwohner/-in und Jahr,
2006,-3.2,m² pro Einwohner/-in und Jahr,
2007,-3.2,m² pro Einwohner/-in und Jahr,
2008,-3.1,m² pro Einwohner/-in und Jahr,
2009,-3.0,m² pro Einwohner/-in und Jahr,
2010,-2.7,m² pro Einwohner/-in und Jahr,
2011,-2.4,m² pro Einwohner/-in und Jahr,
2012,-2.3,m² pro Einwohner/-in und Jahr,
2013,-2.1,m² pro Einwohner/-in und Jahr,
2014,-2.0,m² pro Einwohner/-in und Jahr,
2015,-1.9,m² pro Einwohner/-in und Jahr,
2016,-1.7,m² pro Einwohner/-in und Jahr,
2017,-1.9,m² pro Einwohner/-in und Jahr,
2018,-1.8,m² pro Einwohner/-in und Jahr,
2019,-1.8,m² pro Einwohner/-in und Jahr,
2020,-1.9,m² pro Einwohner/-in und Jahr,
2004,,m² pro Einwohner/-in und Jahr,
2005,,m² pro Einwohner/-in und Jahr,
2006,,m² pro Einwohner/-in und Jahr,
2007,,m² pro Einwohner/-in und Jahr,
2008,,m² pro Einwohner/-in und Jahr,
2009,-1.1,m² pro Einwohner/-in und Jahr,
2010,-1.2,m² pro Einwohner/-in und Jahr,
2011,-1.2,m² pro Einwohner/-in und Jahr,
2012,-1.1,m² pro Einwohner/-in und Jahr,
2013,-1.0,m² pro Einwohner/-in und Jahr,
2014,-0.9,m² pro Einwohner/-in und Jahr,
2015,-0.9,m² pro Einwohner/-in und Jahr,
2016,-0.8,m² pro Einwohner/-in und Jahr,
2017,-0.9,m² pro Einwohner/-in und Jahr,
2018,-0.8,m² pro Einwohner/-in und Jahr,
2019,-0.7,m² pro Einwohner/-in und Jahr,
2020,-0.7,m² pro Einwohner/-in und Jahr,
2004,,m² pro Einwohner/-in und Jahr,
2005,,m² pro Einwohner/-in und Jahr,
2006,,m² pro Einwohner/-in und Jahr,
2007,,m² pro Einwohner/-in und Jahr,
2008,,m² pro Einwohner/-in und Jahr,
2009,-3.2,m² pro Einwohner/-in und Jahr,
2010,-3.1,m² pro Einwohner/-in und Jahr,
