Year,Value,Units,Series,GeoCode
2000,68.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,69.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,68.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,68.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,67.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,69.4,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,71.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,72.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,74.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,74.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,75.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,76.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,76.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,77.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,77.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,78.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,78.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2017,79.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2018,79.9,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2019,80.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2020,79.2,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2021,79.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2001,61.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2002,61.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2003,62.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2004,61.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2005,63.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2006,65.0,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2007,66.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2008,67.8,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2009,68.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2010,69.7,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2011,71.3,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2012,71.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2013,72.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2014,73.1,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2015,73.6,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
2016,74.5,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),
