Year,Value,Units
2000,79.03,Prozent
2001,77.08,Prozent
2002,76.4,Prozent
2003,72.33,Prozent
2004,74.71,Prozent
2005,76.89,Prozent
2006,75.44,Prozent
2007,74.68,Prozent
2008,71.74,Prozent
2009,72.42,Prozent
2010,73.16,Prozent
2011,68.34,Prozent
2012,69.45,Prozent
2013,70.28,Prozent
2014,68.99,Prozent
2015,67.97,Prozent
2000,79.03,Prozent
2001,77.08,Prozent
2002,76.4,Prozent
2003,72.33,Prozent
2004,74.71,Prozent
2005,76.89,Prozent
2006,75.44,Prozent
2007,74.68,Prozent
2008,71.74,Prozent
2009,72.42,Prozent
2010,73.16,Prozent
2011,68.34,Prozent
2012,69.45,Prozent
2013,70.28,Prozent
2014,68.99,Prozent
