Year,Value,Units,GeoCode
1993,8354.095,Je 100 000 Einwohner/ -innen,
1994,8062.642,Je 100 000 Einwohner/ -innen,
1995,8211.891,Je 100 000 Einwohner/ -innen,
1996,8165.843,Je 100 000 Einwohner/ -innen,
1997,8078.662,Je 100 000 Einwohner/ -innen,
1998,7923.243,Je 100 000 Einwohner/ -innen,
1999,7742.636,Je 100 000 Einwohner/ -innen,
2000,7691.754,Je 100 000 Einwohner/ -innen,
2001,7811.684,Je 100 000 Einwohner/ -innen,
2002,7977.821,Je 100 000 Einwohner/ -innen,
2003,8055.254,Je 100 000 Einwohner/ -innen,
2004,8137.919,Je 100 000 Einwohner/ -innen,
2005,7851.874,Je 100 000 Einwohner/ -innen,
2006,7757.168,Je 100 000 Einwohner/ -innen,
2007,7751.507,Je 100 000 Einwohner/ -innen,
2008,7556.892,Je 100 000 Einwohner/ -innen,
2009,7509.802,Je 100 000 Einwohner/ -innen,
2010,7384.652,Je 100 000 Einwohner/ -innen,
2011,7467.62,Je 100 000 Einwohner/ -innen,
2012,7465.7,Je 100 000 Einwohner/ -innen,
2013,7403.6,Je 100 000 Einwohner/ -innen,
2014,7530.3,Je 100 000 Einwohner/ -innen,
2015,7796.6,Je 100 000 Einwohner/ -innen,
2016,7754.759,Je 100 000 Einwohner/ -innen,
2017,6982.4,Je 100 000 Einwohner/ -innen,
2018,6710.185,Je 100 000 Einwohner/ -innen,
2019,6548.365,Je 100 000 Einwohner/ -innen,
2020,6385.513,Je 100 000 Einwohner/ -innen,
2021,6070.42,Je 100 000 Einwohner/ -innen,
1994,5729.469,Je 100 000 Einwohner/ -innen,
1995,5675.863,Je 100 000 Einwohner/ -innen,
1996,5763.052,Je 100 000 Einwohner/ -innen,
1997,5822.949,Je 100 000 Einwohner/ -innen,
1998,5611.139,Je 100 000 Einwohner/ -innen,
1999,5508.378,Je 100 000 Einwohner/ -innen,
2000,5458.928,Je 100 000 Einwohner/ -innen,
2001,5551.18,Je 100 000 Einwohner/ -innen,
2002,5730.474,Je 100 000 Einwohner/ -innen,
2003,5547.172,Je 100 000 Einwohner/ -innen,
2004,6220.291,Je 100 000 Einwohner/ -innen,
2005,5883.028,Je 100 000 Einwohner/ -innen,
2006,5794.919,Je 100 000 Einwohner/ -innen,
2007,5815.19,Je 100 000 Einwohner/ -innen,
2008,5628.669,Je 100 000 Einwohner/ -innen,
2009,5515.582,Je 100 000 Einwohner/ -innen,
2010,5457.241,Je 100 000 Einwohner/ -innen,
2011,5562.282,Je 100 000 Einwohner/ -innen,
2012,5455.051,Je 100 000 Einwohner/ -innen,
2013,5450.5,Je 100 000 Einwohner/ -innen,
2014,5592.3,Je 100 000 Einwohner/ -innen,
2015,5760.805,Je 100 000 Einwohner/ -innen,
2016,5598.845,Je 100 000 Einwohner/ -innen,
2017,5295.459,Je 100 000 Einwohner/ -innen,
2018,5190.519,Je 100 000 Einwohner/ -innen,
2019,5183.715,Je 100 000 Einwohner/ -innen,
2020,4851.774,Je 100 000 Einwohner/ -innen,
2021,4380.16,Je 100 000 Einwohner/ -innen,
1993,5698.936,Je 100 000 Einwohner/ -innen,
1994,5755.526,Je 100 000 Einwohner/ -innen,
1995,5659.312,Je 100 000 Einwohner/ -innen,
1996,5792.028,Je 100 000 Einwohner/ -innen,
1997,5840.88,Je 100 000 Einwohner/ -innen,
1998,5729.465,Je 100 000 Einwohner/ -innen,
1999,5712.341,Je 100 000 Einwohner/ -innen,
