Year,Value,Units,Series
2010,100.0,2010 = 100,Rohstoffeinsatz
2011,101.382,2010 = 100,Rohstoffeinsatz
2012,99.693,2010 = 100,Rohstoffeinsatz
2013,98.464,2010 = 100,Rohstoffeinsatz
2014,99.386,2010 = 100,Rohstoffeinsatz
2015,97.696,2010 = 100,Rohstoffeinsatz
2016,101.229,2010 = 100,Rohstoffeinsatz
2017,100.0,2010 = 100,Rohstoffeinsatz
2018,100.0,2010 = 100,Rohstoffeinsatz
2010,100.0,2010 = 100,Energieverbrauch
2011,95.751,2010 = 100,Energieverbrauch
2012,95.038,2010 = 100,Energieverbrauch
2013,96.49,2010 = 100,Energieverbrauch
2014,90.044,2010 = 100,Energieverbrauch
2015,92.347,2010 = 100,Energieverbrauch
2016,95.038,2010 = 100,Energieverbrauch
2017,94.057,2010 = 100,Energieverbrauch
2010,100.0,2010 = 100,CO₂-Emissionen
2011,97.395,2010 = 100,CO₂-Emissionen
2012,97.977,2010 = 100,CO₂-Emissionen
2013,98.721,2010 = 100,CO₂-Emissionen
2014,91.772,2010 = 100,CO₂-Emissionen
2015,93.658,2010 = 100,CO₂-Emissionen
2016,93.839,2010 = 100,CO₂-Emissionen
2017,92.089,2010 = 100,CO₂-Emissionen
