Year,Units,Federal state,GeoCode,Value
2006,Percentage,,,23.0
2007,Percentage,,,23.0
2008,Percentage,,,23.0
2009,Percentage,,,23.0
2010,Percentage,,,22.0
2011,Percentage,,,22.0
2012,Percentage,,,23.0
2013,Percentage,,,22.0
2014,Percentage,,,22.0
2015,Percentage,,,22.0
2016,Percentage,,,21.0
2017,Percentage,,,20.0
2018,Percentage,,,20.0
2019,Percentage,,,19.0
2020,Percentage,,,18.0
2021,Percentage,,,18.0
2006,Percentage,Baden-Wuerttemberg,code08,28.0
2007,Percentage,,,28.0
2008,Percentage,,,28.0
2009,Percentage,,,27.0
2010,Percentage,,,27.0
2011,Percentage,,,27.0
2012,Percentage,,,27.0
2013,Percentage,,,27.0
2014,Percentage,,,27.0
2015,Percentage,,,26.0
2016,Percentage,,,26.0
2017,Percentage,,,25.0
2018,Percentage,,,24.0
2019,Percentage,,,23.0
2020,Percentage,,,23.0
2021,Percentage,,,22.0
2006,Percentage,,,23.0
2007,Percentage,,,24.0
2008,Percentage,,,25.0
2009,Percentage,,,25.0
2010,Percentage,,,26.0
2011,Percentage,,,25.0
2012,Percentage,,,25.0
2013,Percentage,,,25.0
2014,Percentage,,,25.0
2015,Percentage,,,24.0
2016,Percentage,,,24.0
2017,Percentage,,,24.0
2018,Percentage,,,24.0
2019,Percentage,,,23.0
2020,Percentage,,,22.0
2021,Percentage,,,21.0
2006,Percentage,,,14.0
2007,Percentage,,,14.0
2008,Percentage,,,16.0
2009,Percentage,,,15.0
2010,Percentage,,,14.0
2011,Percentage,,,15.0
2012,Percentage,,,15.0
2013,Percentage,,,14.0
2014,Percentage,,,14.0
2015,Percentage,,,14.0
2016,Percentage,,,12.0
2017,Percentage,,,10.0
2018,Percentage,,,10.0
2019,Percentage,,,10.0
2020,Percentage,,,10.0
2021,Percentage,,,10.0
2006,Percentage,,,6.0
2007,Percentage,,,7.0
2008,Percentage,,,7.0
2009,Percentage,,,7.0
2010,Percentage,,,7.0
2011,Percentage,,,6.0
2012,Percentage,,,7.0
2013,Percentage,,,5.0
2014,Percentage,,,7.0
2015,Percentage,,,5.0
2016,Percentage,,,6.0
2017,Percentage,,,6.0
2018,Percentage,,,6.0
2019,Percentage,,,7.0
2020,Percentage,,,6.0
2021,Percentage,,,5.0
2006,Percentage,,,25.0
2007,Percentage,,,27.0
2008,Percentage,,,27.0
2009,Percentage,,,24.0
2010,Percentage,,,24.0
2011,Percentage,,,24.0
2012,Percentage,,,27.0
2013,Percentage,,,25.0
2014,Percentage,,,25.0
2015,Percentage,,,25.0
2016,Percentage,,,24.0
2017,Percentage,,,24.0
2018,Percentage,,,23.0
2019,Percentage,,,25.0
2020,Percentage,,,22.0
2021,Percentage,,,22.0
2006,Percentage,,,20.0
2007,Percentage,,,22.0
2008,Percentage,,,22.0
2009,Percentage,,,23.0
2010,Percentage,,,23.0
2011,Percentage,,,22.0
2012,Percentage,,,24.0
2013,Percentage,,,23.0
2014,Percentage,,,22.0
2015,Percentage,,,22.0
2016,Percentage,,,21.0
2017,Percentage,,,21.0
2018,Percentage,,,21.0
2019,Percentage,,,21.0
2020,Percentage,,,21.0
2021,Percentage,,,21.0
2006,Percentage,,,23.0
2007,Percentage,,,24.0
2008,Percentage,,,24.0
2009,Percentage,,,24.0
2010,Percentage,,,25.0
2011,Percentage,,,25.0
2012,Percentage,,,24.0
2013,Percentage,,,23.0
2014,Percentage,,,24.0
2015,Percentage,,,23.0
2016,Percentage,,,22.0
2017,Percentage,,,22.0
2018,Percentage,,,21.0
2019,Percentage,,,19.0
2020,Percentage,,,18.0
2021,Percentage,,,18.0
2006,Percentage,,,2.0
2007,Percentage,,,2.0
2008,Percentage,,,3.0
2009,Percentage,,,3.0
2010,Percentage,,,4.0
2011,Percentage,,,6.0
2012,Percentage,,,7.0
2013,Percentage,,,6.0
2014,Percentage,,,8.0
2015,Percentage,,,7.0
2016,Percentage,,,6.0
2017,Percentage,,,6.0
2018,Percentage,,,6.0
2019,Percentage,,,6.0
2020,Percentage,,,6.0
2021,Percentage,,,5.0
2006,Percentage,,,25.0
2007,Percentage,,,24.0
2008,Percentage,,,23.0
2009,Percentage,,,22.0
2010,Percentage,,,22.0
2011,Percentage,,,22.0
2012,Percentage,,,21.0
2013,Percentage,,,20.0
2014,Percentage,,,22.0
2015,Percentage,,,22.0
2016,Percentage,,,21.0
2017,Percentage,,,21.0
2018,Percentage,,,21.0
2019,Percentage,,,21.0
2020,Percentage,,,19.0
2021,Percentage,,,19.0
2006,Percentage,,,24.0
2007,Percentage,,,24.0
2008,Percentage,,,24.0
2009,Percentage,,,23.0
2010,Percentage,,,23.0
2011,Percentage,,,23.0
2012,Percentage,,,24.0
2013,Percentage,,,23.0
2014,Percentage,,,23.0
2015,Percentage,,,23.0
2016,Percentage,,,22.0
2017,Percentage,,,21.0
2018,Percentage,,,20.0
2019,Percentage,,,19.0
2020,Percentage,,,18.0
2021,Percentage,,,17.0
2006,Percentage,,,21.0
2007,Percentage,,,22.0
2008,Percentage,,,22.0
2009,Percentage,,,22.0
2010,Percentage,,,22.0
2011,Percentage,,,22.0
2012,Percentage,,,22.0
2013,Percentage,,,22.0
2014,Percentage,,,21.0
2015,Percentage,,,20.0
2016,Percentage,,,20.0
2017,Percentage,,,19.0
2018,Percentage,,,18.0
2019,Percentage,,,17.0
2020,Percentage,,,15.0
2021,Percentage,,,15.0
2006,Percentage,,,24.0
2007,Percentage,,,26.0
2008,Percentage,,,26.0
2009,Percentage,,,25.0
2010,Percentage,,,25.0
2011,Percentage,,,25.0
2012,Percentage,,,25.0
2013,Percentage,,,24.0
2014,Percentage,,,23.0
2015,Percentage,,,24.0
2016,Percentage,,,24.0
2017,Percentage,,,24.0
2018,Percentage,,,23.0
2019,Percentage,,,22.0
2020,Percentage,,,20.0
2021,Percentage,,,20.0
2006,Percentage,,,9.0
2007,Percentage,,,9.0
2008,Percentage,,,9.0
2009,Percentage,,,9.0
2010,Percentage,,,9.0
2011,Percentage,,,10.0
2012,Percentage,,,11.0
2013,Percentage,,,11.0
2014,Percentage,,,11.0
2015,Percentage,,,11.0
2016,Percentage,,,10.0
2017,Percentage,,,9.0
2018,Percentage,,,8.0
2019,Percentage,,,7.0
2020,Percentage,,,7.0
2021,Percentage,,,6.0
2006,Percentage,,,3.0
2007,Percentage,,,3.0
2008,Percentage,,,3.0
2009,Percentage,,,3.0
2010,Percentage,,,4.0
2011,Percentage,,,5.0
2012,Percentage,,,5.0
2013,Percentage,,,4.0
2014,Percentage,,,5.0
2015,Percentage,,,4.0
2016,Percentage,,,4.0
2017,Percentage,,,6.0
2018,Percentage,,,8.0
2019,Percentage,,,7.0
2020,Percentage,,,8.0
2021,Percentage,,,7.0
2006,Percentage,,,18.0
2007,Percentage,,,18.0
2008,Percentage,,,19.0
2009,Percentage,,,18.0
2010,Percentage,,,18.0
2011,Percentage,,,17.0
2012,Percentage,,,18.0
2013,Percentage,,,18.0
2014,Percentage,,,17.0
2015,Percentage,,,16.0
2016,Percentage,,,16.0
2017,Percentage,,,14.0
2018,Percentage,,,14.0
2019,Percentage,,,13.0
2020,Percentage,,,13.0
2021,Percentage,,,12.0
2006,Percentage,,,6.0
2007,Percentage,,,5.0
2008,Percentage,,,5.0
2009,Percentage,,,6.0
2010,Percentage,,,6.0
2011,Percentage,,,7.0
2012,Percentage,,,8.0
2013,Percentage,,,9.0
2014,Percentage,,,8.0
2015,Percentage,,,9.0
2016,Percentage,,,7.0
2017,Percentage,,,6.0
2018,Percentage,,,6.0
2019,Percentage,,,6.0
2020,Percentage,,,5.0
2021,Percentage,,,5.0
