Year,Units,Time series,Value
2014.0,Millions,,7.9
2014.5,Millions,,11.2
2015.0,Millions,,15.1
2015.5,Millions,,18.2
2016.0,Millions,,19.7
2016.5,Millions,,20.4
2017.0,Millions,,22.5
2017.5,Millions,,23.7
2018.0,Millions,,24.2
2018.5,Millions,,24.2
2019.0,Millions,,26.4
2019.5,Millions,,32.1
2020.0,Millions,,33.0
2020.5,Millions,,35.6
2021.0,Millions,,37.6
2021.5,Millions,,40.2
2022.0,Millions,,42.3
2014.0,Millions,Objects with digitised media,
2014.5,Millions,Objects with digitised media,
2015.0,Millions,Objects with digitised media,
2015.5,Millions,Objects with digitised media,6.3
2016.0,Millions,Objects with digitised media,7.7
2016.5,Millions,Objects with digitised media,8.1
2017.0,Millions,Objects with digitised media,9.1
2017.5,Millions,Objects with digitised media,9.7
2018.0,Millions,Objects with digitised media,9.7
2018.5,Millions,Objects with digitised media,9.7
2019.0,Millions,Objects with digitised media,12.1
2019.5,Millions,Objects with digitised media,13.0
2020.0,Millions,Objects with digitised media,11.0
2020.5,Millions,Objects with digitised media,11.9
2021.0,Millions,Objects with digitised media,13.3
2021.5,Millions,Objects with digitised media,14.4
2022.0,Millions,Objects with digitised media,14.9
2014.0,Millions,Objects without digitised media,
2014.5,Millions,Objects without digitised media,
2015.0,Millions,Objects without digitised media,
2015.5,Millions,Objects without digitised media,
2016.0,Millions,Objects without digitised media,12.0
2016.5,Millions,Objects without digitised media,
2017.0,Millions,Objects without digitised media,13.4
2017.5,Millions,Objects without digitised media,
2018.0,Millions,Objects without digitised media,14.5
2018.5,Millions,Objects without digitised media,
2019.0,Millions,Objects without digitised media,14.3
2019.5,Millions,Objects without digitised media,
2020.0,Millions,Objects without digitised media,22.0
2020.5,Millions,Objects without digitised media,
2021.0,Millions,Objects without digitised media,24.3
2021.5,Millions,Objects without digitised media,
2022.0,Millions,Objects without digitised media,27.4
