Year,Value,Units,GeoCode
2005.0,7.1,Percentage,
2006.0,8.4,Percentage,
2007.0,10.2,Percentage,
2008.0,10.1,Percentage,
2009.0,10.7,Percentage,
2010.0,11.4,Percentage,
2011.0,12.5,Percentage,
2012.0,13.6,Percentage,
2013.0,13.8,Percentage,
2014.0,14.3,Percentage,
2015.0,15.2,Percentage,
2016.0,14.9,Percentage,
2017.0,16.0,Percentage,
2018.0,16.8,Percentage,
2019.0,17.7,Percentage,
2020.0,19.7,Percentage,
2021.0,19.2,Percentage,
2005.0,7.1,Percentage,
2006.0,8.4,Percentage,
2007.0,10.2,Percentage,
2008.0,10.1,Percentage,
2009.0,10.7,Percentage,
2010.0,11.4,Percentage,
2011.0,12.5,Percentage,
2012.0,13.6,Percentage,
2013.0,13.8,Percentage,
2014.0,14.3,Percentage,
2015.0,15.2,Percentage,
2016.0,14.9,Percentage,
2017.0,16.0,Percentage,
2018.0,16.8,Percentage,
2019.0,17.7,Percentage,
2020.0,19.7,Percentage,
2020.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
