Year,Value,Units,GeoCode
1999.0,33.35,Percentage,
2010.0,41.31,Percentage,
2011.0,42.22,Percentage,
2012.0,43.43,Percentage,
2013.0,44.48,Percentage,
2014.0,45.67,Percentage,
2015.0,46.77,Percentage,
2016.0,47.88,Percentage,
2017.0,48.84,Percentage,
2018.0,49.83,Percentage,
2019.0,50.49,Percentage,
2020.0,52.3,Percentage,
2021.0,53.3,Percentage,
1999.0,33.35,Percentage,
2000.0,33.0,Percentage,
2001.0,33.17,Percentage,
2002.0,33.28,Percentage,
2003.0,33.89,Percentage,
2004.0,36.22,Percentage,
2005.0,35.99,Percentage,
2006.0,36.5,Percentage,
2007.0,37.63,Percentage,
2008.0,38.77,Percentage,
2009.0,40.71,Percentage,
2010.0,41.31,Percentage,
2011.0,42.22,Percentage,
2012.0,43.43,Percentage,
2013.0,44.48,Percentage,
2014.0,45.67,Percentage,
2015.0,46.77,Percentage,
2016.0,47.88,Percentage,
2017.0,48.84,Percentage,
2018.0,49.83,Percentage,
2019.0,50.49,Percentage,
2020.0,52.3,Percentage,
2020.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
