Year,Value,Units,Series,GeoCode
1999.0,2.852,Percentage,Data from the Federal Statistical Office,
2001.0,3.573,Percentage,Data from the Federal Statistical Office,
2002.0,,Percentage,Data from the Federal Statistical Office,
2003.0,4.299,Percentage,Data from the Federal Statistical Office,
2004.0,,Percentage,Data from the Federal Statistical Office,
2005.0,4.593,Percentage,Data from the Federal Statistical Office,
2006.0,,Percentage,Data from the Federal Statistical Office,
2007.0,5.079,Percentage,Data from the Federal Statistical Office,
2008.0,,Percentage,Data from the Federal Statistical Office,
2009.0,,Percentage,Data from the Federal Statistical Office,
2010.0,5.636,Percentage,Data from the Federal Statistical Office,
2011.0,,Percentage,Data from the Federal Statistical Office,
2012.0,5.76,Percentage,Data from the Federal Statistical Office,
2013.0,6.04,Percentage,Data from the Federal Statistical Office,
2014.0,6.18,Percentage,Data from the Federal Statistical Office,
2015.0,6.34,Percentage,Data from the Federal Statistical Office,
2016.0,6.82,Percentage,Data from the Federal Statistical Office,
2017.0,6.82,Percentage,Data from the Federal Statistical Office,
2018.0,7.34,Percentage,Data from the Federal Statistical Office,
2019.0,7.75,Percentage,Data from the Federal Statistical Office,
2020.0,9.59,Percentage,Data from the Federal Statistical Office,
2021.0,9.535,Percentage,Data from the Federal Statistical Office,
1999.0,2.852,Percentage,Data from the Federal Statistical Office,
2000.0,,Percentage,Data from the Federal Statistical Office,
2001.0,3.573,Percentage,Data from the Federal Statistical Office,
2002.0,,Percentage,Data from the Federal Statistical Office,
2003.0,4.299,Percentage,Data from the Federal Statistical Office,
2004.0,,Percentage,Data from the Federal Statistical Office,
2005.0,4.593,Percentage,Data from the Federal Statistical Office,
2006.0,,Percentage,Data from the Federal Statistical Office,
2007.0,5.079,Percentage,Data from the Federal Statistical Office,
2008.0,,Percentage,Data from the Federal Statistical Office,
2009.0,,Percentage,Data from the Federal Statistical Office,
2010.0,5.636,Percentage,Data from the Federal Statistical Office,
2011.0,,Percentage,Data from the Federal Statistical Office,
2012.0,5.76,Percentage,Data from the Federal Statistical Office,
2013.0,6.04,Percentage,Data from the Federal Statistical Office,
2014.0,6.18,Percentage,Data from the Federal Statistical Office,
2015.0,6.34,Percentage,Data from the Federal Statistical Office,
2016.0,6.82,Percentage,Data from the Federal Statistical Office,
2017.0,6.82,Percentage,Data from the Federal Statistical Office,
2018.0,7.34,Percentage,Data from the Federal Statistical Office,
2019.0,7.75,Percentage,Data from the Federal Statistical Office,
2020.0,9.59,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
2030.0,,Percentage,Data from the Federal Statistical Office,
1999.0,,Percentage,Data from the Federal Ministry of Food and Agriculture,
2001.0,3.7,Percentage,Data from the Federal Ministry of Food and Agriculture,
2002.0,4.1,Percentage,Data from the Federal Ministry of Food and Agriculture,
2003.0,4.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2004.0,4.5,Percentage,Data from the Federal Ministry of Food and Agriculture,
2005.0,4.7,Percentage,Data from the Federal Ministry of Food and Agriculture,
2006.0,4.9,Percentage,Data from the Federal Ministry of Food and Agriculture,
2007.0,5.1,Percentage,Data from the Federal Ministry of Food and Agriculture,
2008.0,5.4,Percentage,Data from the Federal Ministry of Food and Agriculture,
2009.0,5.6,Percentage,Data from the Federal Ministry of Food and Agriculture,
2010.0,5.9,Percentage,Data from the Federal Ministry of Food and Agriculture,
2011.0,6.1,Percentage,Data from the Federal Ministry of Food and Agriculture,
2012.0,6.2,Percentage,Data from the Federal Ministry of Food and Agriculture,
2013.0,6.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2014.0,6.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2015.0,6.5,Percentage,Data from the Federal Ministry of Food and Agriculture,
2016.0,7.5,Percentage,Data from the Federal Ministry of Food and Agriculture,
2017.0,8.2,Percentage,Data from the Federal Ministry of Food and Agriculture,
2018.0,9.0,Percentage,Data from the Federal Ministry of Food and Agriculture,
2019.0,9.7,Percentage,Data from the Federal Ministry of Food and Agriculture,
2020.0,10.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2021.0,10.9,Percentage,Data from the Federal Ministry of Food and Agriculture,
1999.0,,Percentage,Data from the Federal Ministry of Food and Agriculture,
2000.0,,Percentage,Data from the Federal Ministry of Food and Agriculture,
2001.0,3.7,Percentage,Data from the Federal Ministry of Food and Agriculture,
2002.0,4.1,Percentage,Data from the Federal Ministry of Food and Agriculture,
2003.0,4.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2004.0,4.5,Percentage,Data from the Federal Ministry of Food and Agriculture,
2005.0,4.7,Percentage,Data from the Federal Ministry of Food and Agriculture,
2006.0,4.9,Percentage,Data from the Federal Ministry of Food and Agriculture,
2007.0,5.1,Percentage,Data from the Federal Ministry of Food and Agriculture,
2008.0,5.4,Percentage,Data from the Federal Ministry of Food and Agriculture,
2009.0,5.6,Percentage,Data from the Federal Ministry of Food and Agriculture,
2010.0,5.9,Percentage,Data from the Federal Ministry of Food and Agriculture,
2011.0,6.1,Percentage,Data from the Federal Ministry of Food and Agriculture,
2012.0,6.2,Percentage,Data from the Federal Ministry of Food and Agriculture,
2013.0,6.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2014.0,6.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2015.0,6.5,Percentage,Data from the Federal Ministry of Food and Agriculture,
2016.0,7.5,Percentage,Data from the Federal Ministry of Food and Agriculture,
2017.0,8.2,Percentage,Data from the Federal Ministry of Food and Agriculture,
2018.0,9.0,Percentage,Data from the Federal Ministry of Food and Agriculture,
2019.0,9.7,Percentage,Data from the Federal Ministry of Food and Agriculture,
2020.0,10.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2030.0,,Percentage,Data from the Federal Ministry of Food and Agriculture,
