Year,Value,Units,Series,GeoCode
1996,80.35,Percentage,Foreigns,
1997,80.57,Percentage,Foreigns,
1998,80.51,Percentage,Foreigns,
1999,80.69,Percentage,Foreigns,
2000,80.1,Percentage,Foreigns,
2001,79.83,Percentage,Foreigns,
2002,80.55,Percentage,Foreigns,
2003,80.9,Percentage,Foreigns,
2004,81.91,Percentage,Foreigns,
2005,82.6,Percentage,Foreigns,
2006,83.23,Percentage,Foreigns,
2007,84.0,Percentage,Foreigns,
2008,85.0,Percentage,Foreigns,
2009,86.2,Percentage,Foreigns,
2010,87.19,Percentage,Foreigns,
2011,88.22,Percentage,Foreigns,
2012,88.61,Percentage,Foreigns,
2013,89.29,Percentage,Foreigns,
2014,88.06,Percentage,Foreigns,
2015,88.2,Percentage,Foreigns,
2016,85.83,Percentage,Foreigns,
2017,81.81,Percentage,Foreigns,
2018,81.8,Percentage,Foreigns,
2019,82.37,Percentage,Foreigns,
2020,85.35,Percentage,Foreigns,
2021,84.342,Percentage,Foreigns,
1996,92.28,Percentage,Germans,
1997,92.29,Percentage,Germans,
1998,92.06,Percentage,Germans,
1999,92.0,Percentage,Germans,
2000,91.69,Percentage,Germans,
2001,91.35,Percentage,Germans,
2002,91.8,Percentage,Germans,
2003,92.07,Percentage,Germans,
2004,92.58,Percentage,Germans,
2005,92.76,Percentage,Germans,
2006,93.05,Percentage,Germans,
2007,93.6,Percentage,Germans,
2008,93.8,Percentage,Germans,
2009,94.23,Percentage,Germans,
2010,94.57,Percentage,Germans,
2011,95.01,Percentage,Germans,
2012,95.1,Percentage,Germans,
2013,95.38,Percentage,Germans,
2014,95.14,Percentage,Germans,
2015,95.0,Percentage,Germans,
2016,95.08,Percentage,Germans,
2017,94.82,Percentage,Germans,
2018,94.58,Percentage,Germans,
2019,94.53,Percentage,Germans,
2020,94.91,Percentage,Germans,
2021,94.86,Percentage,Germans,
1996,11.93,Percentage points,Difference,
1997,11.72,Percentage points,Difference,
1998,11.55,Percentage points,Difference,
1999,11.31,Percentage points,Difference,
2000,11.59,Percentage points,Difference,
2001,11.52,Percentage points,Difference,
2002,11.25,Percentage points,Difference,
2003,11.17,Percentage points,Difference,
2004,10.67,Percentage points,Difference,
2005,10.16,Percentage points,Difference,
2006,9.82,Percentage points,Difference,
2007,9.6,Percentage points,Difference,
2008,8.8,Percentage points,Difference,
2009,8.03,Percentage points,Difference,
2010,7.38,Percentage points,Difference,
2011,6.79,Percentage points,Difference,
2012,6.49,Percentage points,Difference,
2013,6.09,Percentage points,Difference,
2014,7.08,Percentage points,Difference,
2015,6.8,Percentage points,Difference,
2016,9.25,Percentage points,Difference,
2017,13.01,Percentage points,Difference,
2018,12.78,Percentage points,Difference,
2019,12.16,Percentage points,Difference,
2020,9.56,Percentage points,Difference,
2021,,Percentage points,Difference,
