Year,Value,Units,GeoCode
1991,24.891,Percentage,
1992,25.201,Percentage,
1993,24.056,Percentage,
1994,24.141,Percentage,
1995,23.539,Percentage,
1996,23.027,Percentage,
1997,22.651,Percentage,
1998,22.798,Percentage,
1999,23.039,Percentage,
2000,23.114,Percentage,
2001,21.778,Percentage,
2002,20.122,Percentage,
2003,19.523,Percentage,
2004,19.091,Percentage,
2005,19.077,Percentage,
2006,19.803,Percentage,
2007,20.057,Percentage,
2008,20.303,Percentage,
2009,19.268,Percentage,
2010,19.543,Percentage,
2011,20.371,Percentage,
2012,20.321,Percentage,
2013,19.901,Percentage,
2014,20.04,Percentage,
2015,20.02,Percentage,
2016,20.298,Percentage,
2017,20.411,Percentage,
2018,21.065,Percentage,
2019,21.374,Percentage,
2020,21.617,Percentage,
2021,21.762,Percentage,
1992,24.33,Percentage,
1993,23.07,Percentage,
1994,21.77,Percentage,
1995,20.41,Percentage,
1996,20.32,Percentage,
1997,19.56,Percentage,
1998,20.07,Percentage,
1999,20.33,Percentage,
2000,21.21,Percentage,
2001,21.57,Percentage,
2002,20.47,Percentage,
2003,19.27,Percentage,
2004,19.84,Percentage,
2005,19.23,Percentage,
2006,20.17,Percentage,
2007,20.37,Percentage,
2008,21.17,Percentage,
2009,20.64,Percentage,
2010,19.83,Percentage,
2011,20.63,Percentage,
2012,21.71,Percentage,
2013,20.89,Percentage,
2014,20.53,Percentage,
2015,20.81,Percentage,
2016,20.98,Percentage,
2017,21.85,Percentage,
2018,22.9,Percentage,
2019,23.44,Percentage,
2020,,Percentage,
2021,,Percentage,
1991,28.11,Percentage,
1992,27.4,Percentage,
1993,24.58,Percentage,
1994,25.28,Percentage,
1995,24.78,Percentage,
1996,24.41,Percentage,
1997,22.89,Percentage,
1998,23.71,Percentage,
1999,23.51,Percentage,
2000,24.27,Percentage,
2001,23.04,Percentage,
2002,21.68,Percentage,
2003,22.35,Percentage,
2004,21.33,Percentage,
2005,20.43,Percentage,
2006,23.7,Percentage,
2007,22.94,Percentage,
2008,23.15,Percentage,
2009,21.52,Percentage,
2010,21.6,Percentage,
2011,23.16,Percentage,
2012,22.92,Percentage,
2013,22.66,Percentage,
2014,23.02,Percentage,
2015,23.14,Percentage,
2016,22.95,Percentage,
2017,23.51,Percentage,
