Year,Units,Time series,Value
1/2014,Millions,,7.9
2/2014,Millions,,11.2
1/2015,Millions,,15.1
2/2015,Millions,,18.2
1/2016,Millions,,19.7
2/2016,Millions,,20.4
1/2017,Millions,,22.5
2/2017,Millions,,23.7
1/2018,Millions,,24.2
2/2018,Millions,,24.2
1/2019,Millions,,26.4
2/2019,Millions,,32.1
1/2020,Millions,,33.0
2/2020,Millions,,35.6
1/2021,Millions,,37.6
2/2021,Millions,,40.2
1/2022,Millions,,42.3
1/2014,Millions,Objects with digitised media,
2/2014,Millions,Objects with digitised media,
1/2015,Millions,Objects with digitised media,
2/2015,Millions,Objects with digitised media,6.3
1/2016,Millions,Objects with digitised media,7.7
2/2016,Millions,Objects with digitised media,8.1
1/2017,Millions,Objects with digitised media,9.1
2/2017,Millions,Objects with digitised media,9.7
1/2018,Millions,Objects with digitised media,9.7
2/2018,Millions,Objects with digitised media,9.7
1/2019,Millions,Objects with digitised media,12.1
2/2019,Millions,Objects with digitised media,13.0
1/2020,Millions,Objects with digitised media,11.0
2/2020,Millions,Objects with digitised media,11.9
1/2021,Millions,Objects with digitised media,13.3
2/2021,Millions,Objects with digitised media,14.4
1/2022,Millions,Objects with digitised media,14.9
1/2014,Millions,Objects without digitised media,
2/2014,Millions,Objects without digitised media,
1/2015,Millions,Objects without digitised media,
2/2015,Millions,Objects without digitised media,
1/2016,Millions,Objects without digitised media,12.0
2/2016,Millions,Objects without digitised media,
1/2017,Millions,Objects without digitised media,13.4
2/2017,Millions,Objects without digitised media,
1/2018,Millions,Objects without digitised media,14.5
2/2018,Millions,Objects without digitised media,
1/2019,Millions,Objects without digitised media,14.3
2/2019,Millions,Objects without digitised media,
1/2020,Millions,Objects without digitised media,22.0
2/2020,Millions,Objects without digitised media,
1/2021,Millions,Objects without digitised media,24.3
2/2021,Millions,Objects without digitised media,
1/2022,Millions,Objects without digitised media,27.4
