Year,Units,federal state,GeoCode,Value
2005,percentage,,,7.1
2006,percentage,,,8.4
2007,percentage,,,10.2
2008,percentage,,,10.1
2009,percentage,,,10.7
2010,percentage,,,11.4
2011,percentage,,,12.5
2012,percentage,,,13.6
2013,percentage,,,13.8
2014,percentage,,,14.3
2015,percentage,,,15.2
2016,percentage,,,14.9
2017,percentage,,,16.0
2018,percentage,,,16.8
2019,percentage,,,17.7
2020,percentage,,,19.7
2021,percentage,,,19.2
2005,percentage,baden-wuerttemberg,code08,6.87
2006,percentage,,,8.39
2007,percentage,,,9.65
2008,percentage,,,9.39
2009,percentage,,,9.9
2010,percentage,,,11.32
2011,percentage,,,11.42
2012,percentage,,,12.54
2013,percentage,,,12.6
2014,percentage,,,13.13
2015,percentage,,,12.96
2016,percentage,,,13.41
2017,percentage,,,13.66
2018,percentage,,,16.24
2019,percentage,,,16.35
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,8.59
2006,percentage,,,9.5
2007,percentage,,,10.46
2008,percentage,,,10.12
2009,percentage,,,10.8
2010,percentage,,,14.62
2011,percentage,,,15.51
2012,percentage,,,17.8
2013,percentage,,,18.34
2014,percentage,,,18.41
2015,percentage,,,19.1
2016,percentage,,,19.83
2017,percentage,,,20.31
2018,percentage,,,21.17
2019,percentage,,,20.68
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,1.25
2006,percentage,,,1.93
2007,percentage,,,2.35
2008,percentage,,,1.64
2009,percentage,,,2.17
2010,percentage,,,2.84
2011,percentage,,,3.28
2012,percentage,,,3.36
2013,percentage,,,3.56
2014,percentage,,,3.36
2015,percentage,,,3.58
2016,percentage,,,3.48
2017,percentage,,,3.74
2018,percentage,,,4.2
2019,percentage,,,4.55
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,9.77
2006,percentage,,,13.84
2007,percentage,,,16.67
2008,percentage,,,15.26
2009,percentage,,,16.48
2010,percentage,,,17.37
2011,percentage,,,21.76
2012,percentage,,,22.17
2013,percentage,,,22.87
2014,percentage,,,23.66
2015,percentage,,,25.9
2016,percentage,,,24.38
2017,percentage,,,27.2
2018,percentage,,,28.22
2019,percentage,,,30.67
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,2.08
2006,percentage,,,2.59
2007,percentage,,,2.72
2008,percentage,,,2.72
2009,percentage,,,2.93
2010,percentage,,,3.24
2011,percentage,,,3.54
2012,percentage,,,3.72
2013,percentage,,,4.32
2014,percentage,,,5.06
2015,percentage,,,4.6
2016,percentage,,,4.21
2017,percentage,,,4.48
2018,percentage,,,5.23
2019,percentage,,,5.37
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,2.75
2006,percentage,,,3.9
2007,percentage,,,4.57
2008,percentage,,,4.07
2009,percentage,,,4.63
2010,percentage,,,4.18
2011,percentage,,,4.51
2012,percentage,,,4.61
2013,percentage,,,4.48
2014,percentage,,,4.87
2015,percentage,,,4.92
2016,percentage,,,4.7
2017,percentage,,,4.89
2018,percentage,,,5.58
2019,percentage,,,7.13
2020,percentage,,,7.89
2021,percentage,,,
2005,percentage,,,4.26
2006,percentage,,,5.29
2007,percentage,,,6.08
2008,percentage,,,5.84
2009,percentage,,,6.33
2010,percentage,,,7.51
2011,percentage,,,8.1
2012,percentage,,,8.26
2013,percentage,,,8.68
2014,percentage,,,8.74
2015,percentage,,,9.49
2016,percentage,,,9.61
2017,percentage,,,10.2
2018,percentage,,,11.53
2019,percentage,,,11.53
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,
2006,percentage,,,
2007,percentage,,,
2008,percentage,,,
2009,percentage,,,
2010,percentage,,,
2011,percentage,,,
2012,percentage,,,
2013,percentage,,,
2014,percentage,,,
2015,percentage,,,
2016,percentage,,,
2017,percentage,,,
2018,percentage,,,
2019,percentage,,,
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,
2006,percentage,,,8.4
2007,percentage,,,
2008,percentage,,,10.32
2009,percentage,,,10.79
2010,percentage,,,11.69
2011,percentage,,,13.15
2012,percentage,,,14.68
2013,percentage,,,14.78
2014,percentage,,,15.31
2015,percentage,,,17.84
2016,percentage,,,18.08
2017,percentage,,,20.49
2018,percentage,,,21.88
2019,percentage,,,24.11
2020,percentage,,,26.98
2021,percentage,,,
2005,percentage,,,3.18
2006,percentage,,,4.07
2007,percentage,,,4.63
2008,percentage,,,3.95
2009,percentage,,,4.9
2010,percentage,,,4.99
2011,percentage,,,5.35
2012,percentage,,,5.82
2013,percentage,,,5.75
2014,percentage,,,5.76
2015,percentage,,,6.33
2016,percentage,,,6.42
2017,percentage,,,6.84
2018,percentage,,,7.3
2019,percentage,,,7.94
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,5.51
2006,percentage,,,7.52
2007,percentage,,,9.19
2008,percentage,,,8.67
2009,percentage,,,9.19
2010,percentage,,,10.02
2011,percentage,,,10.78
2012,percentage,,,12.31
2013,percentage,,,12.82
2014,percentage,,,13.05
2015,percentage,,,14.27
2016,percentage,,,14.09
2017,percentage,,,14.67
2018,percentage,,,15.4
2019,percentage,,,15.96
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,1.83
2006,percentage,,,2.21
2007,percentage,,,2.7
2008,percentage,,,2.45
2009,percentage,,,2.98
