Year,Value,Units,GeoCode
1991,24.891,percentage,
1992,25.201,percentage,
1993,24.056,percentage,
1994,24.141,percentage,
1995,23.539,percentage,
1996,23.027,percentage,
1997,22.651,percentage,
1998,22.798,percentage,
1999,23.039,percentage,
2000,23.114,percentage,
2001,21.778,percentage,
2002,20.122,percentage,
2003,19.523,percentage,
2004,19.091,percentage,
2005,19.077,percentage,
2006,19.803,percentage,
2007,20.057,percentage,
2008,20.303,percentage,
2009,19.268,percentage,
2010,19.543,percentage,
2011,20.371,percentage,
2012,20.321,percentage,
2013,19.901,percentage,
2014,20.04,percentage,
2015,20.02,percentage,
2016,20.298,percentage,
2017,20.411,percentage,
2018,21.065,percentage,
2019,21.374,percentage,
2020,21.617,percentage,
2021,21.762,percentage,
1992,24.33,percentage,
1993,23.07,percentage,
1994,21.77,percentage,
1995,20.41,percentage,
1996,20.32,percentage,
1997,19.56,percentage,
1998,20.07,percentage,
1999,20.33,percentage,
2000,21.21,percentage,
2001,21.57,percentage,
2002,20.47,percentage,
2003,19.27,percentage,
2004,19.84,percentage,
2005,19.23,percentage,
2006,20.17,percentage,
2007,20.37,percentage,
2008,21.17,percentage,
2009,20.64,percentage,
2010,19.83,percentage,
2011,20.63,percentage,
2012,21.71,percentage,
2013,20.89,percentage,
2014,20.53,percentage,
2015,20.81,percentage,
2016,20.98,percentage,
2017,21.85,percentage,
2018,22.9,percentage,
2019,23.44,percentage,
2020,,percentage,
2021,,percentage,
1991,28.11,percentage,
1992,27.4,percentage,
1993,24.58,percentage,
1994,25.28,percentage,
1995,24.78,percentage,
1996,24.41,percentage,
1997,22.89,percentage,
1998,23.71,percentage,
1999,23.51,percentage,
2000,24.27,percentage,
2001,23.04,percentage,
2002,21.68,percentage,
2003,22.35,percentage,
2004,21.33,percentage,
2005,20.43,percentage,
2006,23.7,percentage,
2007,22.94,percentage,
2008,23.15,percentage,
2009,21.52,percentage,
2010,21.6,percentage,
2011,23.16,percentage,
2012,22.92,percentage,
2013,22.66,percentage,
2014,23.02,percentage,
2015,23.14,percentage,
2016,22.95,percentage,
2017,23.51,percentage,
2018,24.38,percentage,
2019,24.48,percentage,
2020,,percentage,
2021,,percentage,
1991,22.48,percentage,
1992,23.05,percentage,
1993,21.86,percentage,
1994,20.36,percentage,
