Year,Value,Units,GeoCode
2000,100.0,2000 = 100,
2001,99.27,2000 = 100,
2002,98.453,2000 = 100,
2003,97.531,2000 = 100,
2004,96.596,2000 = 100,
2005,95.727,2000 = 100,
2006,94.803,2000 = 100,
2007,93.924,2000 = 100,
2008,92.924,2000 = 100,
2009,92.141,2000 = 100,
2010,91.543,2000 = 100,
2011,90.807,2000 = 100,
2012,90.585,2000 = 100,
2013,90.431,2000 = 100,
2014,90.361,2000 = 100,
2015,91.129,2000 = 100,
2016,91.121,2000 = 100,
2017,90.957,2000 = 100,
2018,90.631,2000 = 100,
2019,90.494,2000 = 100,
2020,90.112,2000 = 100,
2001,99.694,2000 = 100,
2002,99.283,2000 = 100,
2003,98.797,2000 = 100,
2004,98.268,2000 = 100,
2005,97.886,2000 = 100,
2006,97.526,2000 = 100,
2007,97.184,2000 = 100,
2008,96.704,2000 = 100,
2009,96.358,2000 = 100,
2010,96.224,2000 = 100,
2011,96.297,2000 = 100,
2012,96.657,2000 = 100,
2013,96.999,2000 = 100,
2014,97.529,2000 = 100,
2015,98.643,2000 = 100,
2016,99.012,2000 = 100,
2017,99.185,2000 = 100,
2018,99.414,2000 = 100,
2019,99.5,2000 = 100,
2020,99.213,2000 = 100,
2000,100.0,2000 = 100,
2001,99.107,2000 = 100,
2002,98.137,2000 = 100,
2003,97.039,2000 = 100,
2004,95.945,2000 = 100,
2005,94.84,2000 = 100,
2006,93.623,2000 = 100,
2007,92.469,2000 = 100,
2008,91.205,2000 = 100,
2009,90.198,2000 = 100,
2010,89.33,2000 = 100,
2011,88.222,2000 = 100,
2012,87.668,2000 = 100,
2013,87.239,2000 = 100,
2014,86.899,2000 = 100,
2015,87.463,2000 = 100,
2016,87.248,2000 = 100,
2017,86.933,2000 = 100,
2018,86.418,2000 = 100,
2019,86.187,2000 = 100,
2020,85.822,2000 = 100,
2001,99.699,2000 = 100,
2002,99.336,2000 = 100,
2003,98.73,2000 = 100,
2004,98.196,2000 = 100,
2005,97.609,2000 = 100,
2006,96.852,2000 = 100,
2007,96.098,2000 = 100,
2008,95.401,2000 = 100,
2009,94.753,2000 = 100,
2010,94.268,2000 = 100,
2011,94.145,2000 = 100,
2012,94.207,2000 = 100,
2013,94.391,2000 = 100,
2014,94.797,2000 = 100,
2015,95.884,2000 = 100,
2016,96.166,2000 = 100,
2017,96.26,2000 = 100,
2018,96.357,2000 = 100,
2019,96.305,2000 = 100,
2020,95.964,2000 = 100,
2000,100.0,2000 = 100,
2001,99.681,2000 = 100,
2002,99.206,2000 = 100,
2003,98.622,2000 = 100,
2004,98.002,2000 = 100,
2005,97.402,2000 = 100,
2006,96.59,2000 = 100,
2007,96.018,2000 = 100,
2008,95.224,2000 = 100,
2009,94.377,2000 = 100,
2010,93.64,2000 = 100,
2011,91.496,2000 = 100,
2012,91.566,2000 = 100,
2013,91.675,2000 = 100,
2014,91.879,2000 = 100,
2015,92.448,2000 = 100,
2016,92.544,2000 = 100,
2017,92.551,2000 = 100,
2018,92.718,2000 = 100,
2019,92.629,2000 = 100,
2020,92.281,2000 = 100,
2000,100.0,2000 = 100,
2001,99.584,2000 = 100,
2002,99.266,2000 = 100,
2003,98.716,2000 = 100,
2004,98.429,2000 = 100,
2005,98.072,2000 = 100,
2006,98.074,2000 = 100,
2007,97.845,2000 = 100,
2008,98.027,2000 = 100,
2009,97.595,2000 = 100,
2010,97.686,2000 = 100,
2011,99.106,2000 = 100,
2012,100.895,2000 = 100,
2013,102.125,2000 = 100,
2014,103.558,2000 = 100,
2015,105.056,2000 = 100,
2016,106.691,2000 = 100,
2017,107.679,2000 = 100,
2018,108.541,2000 = 100,
2019,109.241,2000 = 100,
2020,109.054,2000 = 100,
2000,100.0,2000 = 100,
2001,98.188,2000 = 100,
2002,96.516,2000 = 100,
2003,94.992,2000 = 100,
2004,93.69,2000 = 100,
2005,91.864,2000 = 100,
2006,90.282,2000 = 100,
2007,88.928,2000 = 100,
2008,87.0,2000 = 100,
2009,85.747,2000 = 100,
2010,84.862,2000 = 100,
2011,84.212,2000 = 100,
2012,83.687,2000 = 100,
2013,82.443,2000 = 100,
2014,82.409,2000 = 100,
2015,83.105,2000 = 100,
2016,83.225,2000 = 100,
2017,83.477,2000 = 100,
2018,83.566,2000 = 100,
2019,83.841,2000 = 100,
2020,83.308,2000 = 100,
2000,100.0,2000 = 100,
2001,99.404,2000 = 100,
2002,99.705,2000 = 100,
2003,99.354,2000 = 100,
2004,99.297,2000 = 100,
2005,98.835,2000 = 100,
2006,98.845,2000 = 100,
2007,97.788,2000 = 100,
2008,97.536,2000 = 100,
2009,97.441,2000 = 100,
2010,96.8,2000 = 100,
2011,96.49,2000 = 100,
2012,96.049,2000 = 100,
2013,96.433,2000 = 100,
2014,96.681,2000 = 100,
2015,98.084,2000 = 100,
2016,99.145,2000 = 100,
2017,99.36,2000 = 100,
2018,99.792,2000 = 100,
2019,99.465,2000 = 100,
2020,99.149,2000 = 100,
2000,100.0,2000 = 100,
2001,100.416,2000 = 100,
2002,99.394,2000 = 100,
2003,98.788,2000 = 100,
2004,97.681,2000 = 100,
2005,97.078,2000 = 100,
2006,97.018,2000 = 100,
2007,97.52,2000 = 100,
2008,97.365,2000 = 100,
2009,97.029,2000 = 100,
2010,97.269,2000 = 100,
2011,97.981,2000 = 100,
2012,98.68,2000 = 100,
2013,98.929,2000 = 100,
2014,100.525,2000 = 100,
2015,102.611,2000 = 100,
2016,104.629,2000 = 100,
2017,105.696,2000 = 100,
2018,106.38,2000 = 100,
2019,106.783,2000 = 100,
2020,107.112,2000 = 100,
2000,100.0,2000 = 100,
2001,99.761,2000 = 100,
2002,99.375,2000 = 100,
2003,98.793,2000 = 100,
2004,98.345,2000 = 100,
2005,97.783,2000 = 100,
2006,97.067,2000 = 100,
2007,96.466,2000 = 100,
2008,95.941,2000 = 100,
2009,95.437,2000 = 100,
2010,95.034,2000 = 100,
2011,95.305,2000 = 100,
2012,95.26,2000 = 100,
2013,95.486,2000 = 100,
2014,95.874,2000 = 100,
2015,96.906,2000 = 100,
2016,97.221,2000 = 100,
2017,97.296,2000 = 100,
2018,97.349,2000 = 100,
2019,97.433,2000 = 100,
2020,97.355,2000 = 100,
2000,100.0,2000 = 100,
2001,97.322,2000 = 100,
2002,94.061,2000 = 100,
2003,91.441,2000 = 100,
2004,89.125,2000 = 100,
2005,87.158,2000 = 100,
2006,85.042,2000 = 100,
2007,83.101,2000 = 100,
2008,80.47,2000 = 100,
2009,78.53,2000 = 100,
2010,76.936,2000 = 100,
2011,76.147,2000 = 100,
2012,75.389,2000 = 100,
2013,74.889,2000 = 100,
2014,74.104,2000 = 100,
2015,74.599,2000 = 100,
2016,74.403,2000 = 100,
2017,75.535,2000 = 100,
2018,75.395,2000 = 100,
2019,75.392,2000 = 100,
2020,75.376,2000 = 100,
2000,100.0,2000 = 100,
2001,99.372,2000 = 100,
2002,98.874,2000 = 100,
2003,98.204,2000 = 100,
2004,97.152,2000 = 100,
2005,96.201,2000 = 100,
2006,95.388,2000 = 100,
2007,94.617,2000 = 100,
2008,93.649,2000 = 100,
2009,92.909,2000 = 100,
2010,92.299,2000 = 100,
2011,91.481,2000 = 100,
2012,91.034,2000 = 100,
2013,90.698,2000 = 100,
2014,90.597,2000 = 100,
2015,91.285,2000 = 100,
2016,91.037,2000 = 100,
2017,90.907,2000 = 100,
2018,90.782,2000 = 100,
2019,90.621,2000 = 100,
2020,90.396,2000 = 100,
2000,100.0,2000 = 100,
2001,99.32,2000 = 100,
2002,98.58,2000 = 100,
2003,98.075,2000 = 100,
2004,97.015,2000 = 100,
2005,96.219,2000 = 100,
2006,95.306,2000 = 100,
2007,94.413,2000 = 100,
2008,93.315,2000 = 100,
2009,92.504,2000 = 100,
2010,91.774,2000 = 100,
2011,91.343,2000 = 100,
2012,90.943,2000 = 100,
2013,90.635,2000 = 100,
2014,90.591,2000 = 100,
2015,91.361,2000 = 100,
2016,91.089,2000 = 100,
2017,90.935,2000 = 100,
2018,90.821,2000 = 100,
2019,90.553,2000 = 100,
2020,90.204,2000 = 100,
2000,100.0,2000 = 100,
2001,99.598,2000 = 100,
2002,99.133,2000 = 100,
2003,98.56,2000 = 100,
2004,97.493,2000 = 100,
2005,96.408,2000 = 100,
2006,95.565,2000 = 100,
2007,94.806,2000 = 100,
2008,93.988,2000 = 100,
2009,93.544,2000 = 100,
2010,93.259,2000 = 100,
2011,93.03,2000 = 100,
2012,92.872,2000 = 100,
2013,92.803,2000 = 100,
2014,93.105,2000 = 100,
2015,94.194,2000 = 100,
2016,94.635,2000 = 100,
2017,94.861,2000 = 100,
2018,94.944,2000 = 100,
2019,94.869,2000 = 100,
2020,94.396,2000 = 100,
2000,100.0,2000 = 100,
2001,99.133,2000 = 100,
2002,98.539,2000 = 100,
2003,97.946,2000 = 100,
2004,96.472,2000 = 100,
2005,95.471,2000 = 100,
2006,94.386,2000 = 100,
2007,93.359,2000 = 100,
2008,92.364,2000 = 100,
2009,91.069,2000 = 100,
2010,89.864,2000 = 100,
2011,89.336,2000 = 100,
2012,88.683,2000 = 100,
2013,88.2,2000 = 100,
2014,87.886,2000 = 100,
2015,88.305,2000 = 100,
2016,88.234,2000 = 100,
2017,87.925,2000 = 100,
2018,87.509,2000 = 100,
2019,87.074,2000 = 100,
2020,86.726,2000 = 100,
2000,100.0,2000 = 100,
2001,97.588,2000 = 100,
2002,95.745,2000 = 100,
2003,94.371,2000 = 100,
2004,93.288,2000 = 100,
2005,92.235,2000 = 100,
2006,90.909,2000 = 100,
2007,88.515,2000 = 100,
2008,86.865,2000 = 100,
2009,84.873,2000 = 100,
2010,83.476,2000 = 100,
2011,82.441,2000 = 100,
