Year,Value,Units,Series,GeoCode
1996,80.35,percentage,foreigns,
1997,80.57,percentage,foreigns,
1998,80.51,percentage,foreigns,
1999,80.69,percentage,foreigns,
2000,80.1,percentage,foreigns,
2001,79.83,percentage,foreigns,
2002,80.55,percentage,foreigns,
2003,80.9,percentage,foreigns,
2004,81.91,percentage,foreigns,
2005,82.6,percentage,foreigns,
2006,83.23,percentage,foreigns,
2007,84.0,percentage,foreigns,
2008,85.0,percentage,foreigns,
2009,86.2,percentage,foreigns,
2010,87.19,percentage,foreigns,
2011,88.22,percentage,foreigns,
2012,88.61,percentage,foreigns,
2013,89.29,percentage,foreigns,
2014,88.06,percentage,foreigns,
2015,88.2,percentage,foreigns,
2016,85.83,percentage,foreigns,
2017,81.81,percentage,foreigns,
2018,81.8,percentage,foreigns,
2019,82.37,percentage,foreigns,
2020,85.35,percentage,foreigns,
1996,92.28,percentage,germans,
1997,92.29,percentage,germans,
1998,92.06,percentage,germans,
1999,92.0,percentage,germans,
2000,91.69,percentage,germans,
2001,91.35,percentage,germans,
2002,91.8,percentage,germans,
2003,92.07,percentage,germans,
2004,92.58,percentage,germans,
2005,92.76,percentage,germans,
2006,93.05,percentage,germans,
2007,93.6,percentage,germans,
2008,93.8,percentage,germans,
2009,94.23,percentage,germans,
2010,94.57,percentage,germans,
2011,95.01,percentage,germans,
2012,95.1,percentage,germans,
2013,95.38,percentage,germans,
2014,95.14,percentage,germans,
2015,95.0,percentage,germans,
2016,95.08,percentage,germans,
2017,94.82,percentage,germans,
2018,94.58,percentage,germans,
2019,94.53,percentage,germans,
2020,94.91,percentage,germans,
1996,11.931,percentage points,difference,
1997,11.711,percentage points,difference,
1998,11.554,percentage points,difference,
1999,11.315,percentage points,difference,
2000,11.589,percentage points,difference,
2001,11.52,percentage points,difference,
2002,11.241,percentage points,difference,
2003,11.174,percentage points,difference,
2004,10.669,percentage points,difference,
2005,10.161,percentage points,difference,
2006,9.82,percentage points,difference,
2007,9.6,percentage points,difference,
2008,8.8,percentage points,difference,
2009,8.027,percentage points,difference,
2010,7.38,percentage points,difference,
2011,6.784,percentage points,difference,
2012,6.488,percentage points,difference,
2013,6.09,percentage points,difference,
2014,7.079,percentage points,difference,
2015,6.8,percentage points,difference,
2016,9.246,percentage points,difference,
2017,13.012,percentage points,difference,
2018,12.785,percentage points,difference,
2019,12.155,percentage points,difference,
2020,9.56,percentage points,difference,
