Year,Value,Units,Series,GeoCode
1999.0,2.852,percentage,data from the federal statistical office,
2001.0,3.573,percentage,data from the federal statistical office,
2002.0,,percentage,data from the federal statistical office,
2003.0,4.299,percentage,data from the federal statistical office,
2004.0,,percentage,data from the federal statistical office,
2005.0,4.593,percentage,data from the federal statistical office,
2006.0,,percentage,data from the federal statistical office,
2007.0,5.079,percentage,data from the federal statistical office,
2008.0,,percentage,data from the federal statistical office,
2009.0,,percentage,data from the federal statistical office,
2010.0,5.636,percentage,data from the federal statistical office,
2011.0,,percentage,data from the federal statistical office,
2012.0,5.76,percentage,data from the federal statistical office,
2013.0,6.04,percentage,data from the federal statistical office,
2014.0,6.18,percentage,data from the federal statistical office,
2015.0,6.34,percentage,data from the federal statistical office,
2016.0,6.82,percentage,data from the federal statistical office,
2017.0,6.82,percentage,data from the federal statistical office,
2018.0,7.34,percentage,data from the federal statistical office,
2019.0,7.75,percentage,data from the federal statistical office,
2020.0,9.59,percentage,data from the federal statistical office,
2021.0,9.535,percentage,data from the federal statistical office,
1999.0,2.852,percentage,data from the federal statistical office,
2000.0,,percentage,data from the federal statistical office,
2001.0,3.573,percentage,data from the federal statistical office,
2002.0,,percentage,data from the federal statistical office,
2003.0,4.299,percentage,data from the federal statistical office,
2004.0,,percentage,data from the federal statistical office,
2005.0,4.593,percentage,data from the federal statistical office,
2006.0,,percentage,data from the federal statistical office,
2007.0,5.079,percentage,data from the federal statistical office,
2008.0,,percentage,data from the federal statistical office,
2009.0,,percentage,data from the federal statistical office,
2010.0,5.636,percentage,data from the federal statistical office,
2011.0,,percentage,data from the federal statistical office,
2012.0,5.76,percentage,data from the federal statistical office,
2013.0,6.04,percentage,data from the federal statistical office,
2014.0,6.18,percentage,data from the federal statistical office,
2015.0,6.34,percentage,data from the federal statistical office,
2016.0,6.82,percentage,data from the federal statistical office,
2017.0,6.82,percentage,data from the federal statistical office,
2018.0,7.34,percentage,data from the federal statistical office,
2019.0,7.75,percentage,data from the federal statistical office,
2020.0,9.59,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
2030.0,,percentage,data from the federal statistical office,
1999.0,,percentage,data from the federal ministry of food and agriculture,
2001.0,3.7,percentage,data from the federal ministry of food and agriculture,
2002.0,4.1,percentage,data from the federal ministry of food and agriculture,
2003.0,4.3,percentage,data from the federal ministry of food and agriculture,
2004.0,4.5,percentage,data from the federal ministry of food and agriculture,
2005.0,4.7,percentage,data from the federal ministry of food and agriculture,
2006.0,4.9,percentage,data from the federal ministry of food and agriculture,
2007.0,5.1,percentage,data from the federal ministry of food and agriculture,
2008.0,5.4,percentage,data from the federal ministry of food and agriculture,
2009.0,5.6,percentage,data from the federal ministry of food and agriculture,
2010.0,5.9,percentage,data from the federal ministry of food and agriculture,
2011.0,6.1,percentage,data from the federal ministry of food and agriculture,
2012.0,6.2,percentage,data from the federal ministry of food and agriculture,
2013.0,6.3,percentage,data from the federal ministry of food and agriculture,
2014.0,6.3,percentage,data from the federal ministry of food and agriculture,
2015.0,6.5,percentage,data from the federal ministry of food and agriculture,
2016.0,7.5,percentage,data from the federal ministry of food and agriculture,
2017.0,8.2,percentage,data from the federal ministry of food and agriculture,
2018.0,9.0,percentage,data from the federal ministry of food and agriculture,
2019.0,9.7,percentage,data from the federal ministry of food and agriculture,
2020.0,10.3,percentage,data from the federal ministry of food and agriculture,
2021.0,10.9,percentage,data from the federal ministry of food and agriculture,
1999.0,,percentage,data from the federal ministry of food and agriculture,
2000.0,,percentage,data from the federal ministry of food and agriculture,
2001.0,3.7,percentage,data from the federal ministry of food and agriculture,
2002.0,4.1,percentage,data from the federal ministry of food and agriculture,
2003.0,4.3,percentage,data from the federal ministry of food and agriculture,
2004.0,4.5,percentage,data from the federal ministry of food and agriculture,
2005.0,4.7,percentage,data from the federal ministry of food and agriculture,
2006.0,4.9,percentage,data from the federal ministry of food and agriculture,
2007.0,5.1,percentage,data from the federal ministry of food and agriculture,
2008.0,5.4,percentage,data from the federal ministry of food and agriculture,
2009.0,5.6,percentage,data from the federal ministry of food and agriculture,
2010.0,5.9,percentage,data from the federal ministry of food and agriculture,
2011.0,6.1,percentage,data from the federal ministry of food and agriculture,
2012.0,6.2,percentage,data from the federal ministry of food and agriculture,
2013.0,6.3,percentage,data from the federal ministry of food and agriculture,
2014.0,6.3,percentage,data from the federal ministry of food and agriculture,
2015.0,6.5,percentage,data from the federal ministry of food and agriculture,
2016.0,7.5,percentage,data from the federal ministry of food and agriculture,
2017.0,8.2,percentage,data from the federal ministry of food and agriculture,
2018.0,9.0,percentage,data from the federal ministry of food and agriculture,
2019.0,9.7,percentage,data from the federal ministry of food and agriculture,
2020.0,10.3,percentage,data from the federal ministry of food and agriculture,
2030.0,,percentage,data from the federal ministry of food and agriculture,
