Year,Value,Units,Series,GeoCode
2008,100.0,2008 = 100,final energy productivity,
2009,99.68,2008 = 100,final energy productivity,
2010,96.66,2008 = 100,final energy productivity,
2011,105.29,2008 = 100,final energy productivity,
2012,105.29,2008 = 100,final energy productivity,
2013,102.76,2008 = 100,final energy productivity,
2014,110.82,2008 = 100,final energy productivity,
2015,109.96,2008 = 100,final energy productivity,
2016,110.26,2008 = 100,final energy productivity,
2017,111.75,2008 = 100,final energy productivity,
2018,116.34,2008 = 100,final energy productivity,
2019,116.92,2008 = 100,final energy productivity,
2020,120.04,2008 = 100,final energy productivity,
2021,,2008 = 100,final energy productivity,
2009,95.56,2008 = 100,final energy productivity,
2010,100.38,2008 = 100,final energy productivity,
2011,109.6,2008 = 100,final energy productivity,
2012,111.95,2008 = 100,final energy productivity,
2013,107.65,2008 = 100,final energy productivity,
2014,117.24,2008 = 100,final energy productivity,
2015,116.7,2008 = 100,final energy productivity,
2016,115.33,2008 = 100,final energy productivity,
2017,119.71,2008 = 100,final energy productivity,
2018,121.65,2008 = 100,final energy productivity,
2019,117.75,2008 = 100,final energy productivity,
2020,123.69,2008 = 100,final energy productivity,
2021,,2008 = 100,final energy productivity,
2008,100.0,2008 = 100,final energy productivity,
2009,98.7,2008 = 100,final energy productivity,
2010,96.32,2008 = 100,final energy productivity,
2011,103.17,2008 = 100,final energy productivity,
2012,104.63,2008 = 100,final energy productivity,
2013,104.95,2008 = 100,final energy productivity,
2014,112.9,2008 = 100,final energy productivity,
2015,112.09,2008 = 100,final energy productivity,
2016,111.26,2008 = 100,final energy productivity,
2017,114.29,2008 = 100,final energy productivity,
2018,113.39,2008 = 100,final energy productivity,
2019,112.21,2008 = 100,final energy productivity,
2020,,2008 = 100,final energy productivity,
2021,,2008 = 100,final energy productivity,
2008,100.0,2008 = 100,final energy productivity,
2009,98.34,2008 = 100,final energy productivity,
2010,93.1,2008 = 100,final energy productivity,
2011,108.4,2008 = 100,final energy productivity,
2012,107.01,2008 = 100,final energy productivity,
2013,104.41,2008 = 100,final energy productivity,
2014,115.02,2008 = 100,final energy productivity,
2015,121.51,2008 = 100,final energy productivity,
2016,124.0,2008 = 100,final energy productivity,
2017,129.42,2008 = 100,final energy productivity,
2018,135.5,2008 = 100,final energy productivity,
2019,141.02,2008 = 100,final energy productivity,
2020,154.73,2008 = 100,final energy productivity,
2021,,2008 = 100,final energy productivity,
2008,100.0,2008 = 100,final energy productivity,
