Year,Units,Bundesland,GeoCode,Value
2005,Prozent,,,7.1
2006,Prozent,,,8.4
2007,Prozent,,,10.2
2008,Prozent,,,10.1
2009,Prozent,,,10.7
2010,Prozent,,,11.4
2011,Prozent,,,12.5
2012,Prozent,,,13.6
2013,Prozent,,,13.8
2014,Prozent,,,14.3
2015,Prozent,,,15.2
2016,Prozent,,,14.9
2017,Prozent,,,16.0
2018,Prozent,,,16.8
2019,Prozent,,,17.7
2020,Prozent,,,19.7
2021,Prozent,,,19.2
2005,Prozent,Baden-Württemberg,code08,6.87
2006,Prozent,,,8.39
2007,Prozent,,,9.65
2008,Prozent,,,9.39
2009,Prozent,,,9.9
2010,Prozent,,,11.32
2011,Prozent,,,11.42
2012,Prozent,,,12.54
2013,Prozent,,,12.6
2014,Prozent,,,13.13
2015,Prozent,,,12.96
2016,Prozent,,,13.41
2017,Prozent,,,13.66
2018,Prozent,,,16.24
2019,Prozent,,,16.35
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,8.59
2006,Prozent,,,9.5
2007,Prozent,,,10.46
2008,Prozent,,,10.12
2009,Prozent,,,10.8
2010,Prozent,,,14.62
2011,Prozent,,,15.51
2012,Prozent,,,17.8
2013,Prozent,,,18.34
2014,Prozent,,,18.41
2015,Prozent,,,19.1
2016,Prozent,,,19.83
2017,Prozent,,,20.31
2018,Prozent,,,21.17
2019,Prozent,,,20.68
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,1.25
2006,Prozent,,,1.93
2007,Prozent,,,2.35
2008,Prozent,,,1.64
2009,Prozent,,,2.17
2010,Prozent,,,2.84
2011,Prozent,,,3.28
2012,Prozent,,,3.36
2013,Prozent,,,3.56
2014,Prozent,,,3.36
2015,Prozent,,,3.58
2016,Prozent,,,3.48
2017,Prozent,,,3.74
2018,Prozent,,,4.2
2019,Prozent,,,4.55
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,9.77
2006,Prozent,,,13.84
2007,Prozent,,,16.67
2008,Prozent,,,15.26
2009,Prozent,,,16.48
2010,Prozent,,,17.37
2011,Prozent,,,21.76
2012,Prozent,,,22.17
2013,Prozent,,,22.87
2014,Prozent,,,23.66
2015,Prozent,,,25.9
2016,Prozent,,,24.38
2017,Prozent,,,27.2
2018,Prozent,,,28.22
2019,Prozent,,,30.67
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,2.08
2006,Prozent,,,2.59
2007,Prozent,,,2.72
2008,Prozent,,,2.72
2009,Prozent,,,2.93
2010,Prozent,,,3.24
2011,Prozent,,,3.54
2012,Prozent,,,3.72
2013,Prozent,,,4.32
2014,Prozent,,,5.06
2015,Prozent,,,4.6
2016,Prozent,,,4.21
2017,Prozent,,,4.48
2018,Prozent,,,5.23
2019,Prozent,,,5.37
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,2.75
2006,Prozent,,,3.9
2007,Prozent,,,4.57
2008,Prozent,,,4.07
2009,Prozent,,,4.63
2010,Prozent,,,4.18
2011,Prozent,,,4.51
2012,Prozent,,,4.61
2013,Prozent,,,4.48
2014,Prozent,,,4.87
2015,Prozent,,,4.92
2016,Prozent,,,4.7
2017,Prozent,,,4.89
2018,Prozent,,,5.58
2019,Prozent,,,7.13
2020,Prozent,,,7.89
2021,Prozent,,,
2005,Prozent,,,4.26
2006,Prozent,,,5.29
2007,Prozent,,,6.08
2008,Prozent,,,5.84
2009,Prozent,,,6.33
2010,Prozent,,,7.51
2011,Prozent,,,8.1
2012,Prozent,,,8.26
2013,Prozent,,,8.68
2014,Prozent,,,8.74
2015,Prozent,,,9.49
2016,Prozent,,,9.61
2017,Prozent,,,10.2
2018,Prozent,,,11.53
2019,Prozent,,,11.53
2020,Prozent,,,
2021,Prozent,,,
2005,Prozent,,,
2006,Prozent,,,
2007,Prozent,,,
2008,Prozent,,,
2009,Prozent,,,
2010,Prozent,,,
2011,Prozent,,,
2012,Prozent,,,
2013,Prozent,,,
2014,Prozent,,,
2015,Prozent,,,
2016,Prozent,,,
2017,Prozent,,,
2018,Prozent,,,
2019,Prozent,,,
2020,Prozent,,,
2021,Prozent,,,
